week,hc_sector_return
2023-05-15,
2023-05-22,-0.030786957209062715
2023-05-29,0.014803677512454571
2023-06-05,-0.0023946285441093563
2023-06-12,0.020425712062177203
2023-06-19,0.0070657215783783145
2023-06-26,0.0057063460063758505
2023-07-03,-0.028269865009757866
2023-07-10,0.021104052984943666
2023-07-17,0.033959503661755694
2023-07-24,-0.004226434688158165
2023-07-31,-0.019527169728692763
2023-08-07,0.03065841161811106
2023-08-14,-0.009516557084728972
2023-08-21,0.0004873544621884496
2023-08-28,0.006880485222371691
2023-09-04,-0.004956123858820061
2023-09-11,-0.00036426454898053073
2023-09-18,-0.006138952033942791
2023-09-25,-0.011699590313127594
2023-10-02,0.008803549710118064
2023-10-09,-0.0042287938636259015
2023-10-16,-0.01163874620552654
2023-10-23,-0.03567750769168767
2023-10-30,0.03424229953596127
2023-11-06,-0.005920801116174523
2023-11-13,0.025559541230685566
2023-11-20,0.021740583556394678
2023-11-27,0.012059085933359259
2023-12-04,-0.00174416481010633
2023-12-11,0.014877007682580368
2023-12-18,0.011662309661289083
2023-12-25,0.01183406944970664
2024-01-01,0.025281482975806034
2024-01-08,0.02686268709263683
2024-01-15,0.002756969461982084
2024-01-22,0.00012089373269442704
2024-01-29,0.02352888094300143
2024-02-05,0.0075007909731578445
2024-02-12,0.008607787393047461
2024-02-19,0.019032407413369846
2024-02-26,-0.006233595693503924
2024-03-04,-0.006594014207357312
2024-03-11,-0.009892880471633614
2024-03-18,0.002214516314760928
2024-03-25,0.020374705154782447
2024-04-01,-0.03048293886103768
2024-04-08,-0.02286257532967435
2024-04-15,0.0030095717089292486
2024-04-22,0.015911450433092666
2024-04-29,0.01629717095433304
2024-05-06,0.012812009013576575
2024-05-13,0.017007494606325745
2024-05-20,-0.010709579682300518
2024-05-27,-0.006708077611631402
2024-06-03,0.025309901420969515
2024-06-10,-0.0034985384713487775
2024-06-17,0.00963195997360874
2024-06-24,0.0011531175298404085
2024-07-01,-0.007054192693415473
2024-07-08,0.023554868988936682
2024-07-15,0.0030347539065838534
2024-07-22,0.016931087445211823
2024-07-29,0.008156779864559293
2024-08-05,-0.00042931082259648477
2024-08-12,0.01734304255634982
2024-08-19,0.018859512086096198
2024-08-26,0.012597599769348355
2024-09-02,-0.0162462935584853
2024-09-09,0.013225892633064307
2024-09-16,-0.0029827084493089574
2024-09-23,-0.015001260352893498
2024-09-30,-0.0030314203619408063
2024-10-07,0.016002828871380225
2024-10-14,0.00377450934674447
2024-10-21,-0.03042369061360962
2024-10-28,0.0010452455836336139
2024-11-04,0.016741584431738087
2024-11-11,-0.06209448198395316
2024-11-18,0.024622432563565843
2024-11-25,0.015908639007201363
2024-12-02,-0.0173768579416713
2024-12-09,-0.018900343390173425
2024-12-16,-0.016471109084782377
2024-12-23,0.01213557419644069
2024-12-30,0.0007745168696169813
2025-01-06,0.006966881517091151
2025-01-13,0.01042018217816979
2025-01-20,0.02537037572610131
2025-01-27,0.028448598471019736
2025-02-03,0.0021460352093335966
2025-02-10,-0.008876365216104454
2025-02-17,0.015285707790392001
2025-02-24,0.014855600633642075
2025-03-03,-0.004239582963871902
2025-03-10,-0.03187946579806955
2025-03-17,0.012627831425681902
2025-03-24,-0.012495394060325826
2025-03-31,-0.07184667577303247
2025-04-07,0.01611142426916723
2025-04-14,-0.009946383271417891
2025-04-21,0.021910582954983125
2025-04-28,0.005748280897407532
2025-05-05,-0.043106799738372004
2025-05-12,-0.007166417609444841
