week,article_count,positive_count,sentiment_ratio,avg_weekly_return
2025-04-14,3,2,0.6666666666666666,-0.009946383271417891
2025-04-21,20,16,0.8,0.021910582954983125
2025-04-28,67,55,0.8208955223880597,0.005748280897407532
2025-05-05,73,49,0.6712328767123288,-0.043106799738372004
2025-05-12,24,8,0.3333333333333333,-0.007166417609444841
